steps,success,collision,stuck,near_collision,min_clearance,recover_triggers,episode_id,difficulty,body_margin,heading_perturb_deg,variant
54,1.0,0.0,0.0,1.0,-0.15047042071819305,0,hm3d_narrow_000138,narrow,0.0062,60.0,no_lateral_alignment
39,1.0,0.0,0.0,1.0,-0.15880335867404938,0,hm3d_narrow_000137,narrow,0.0475,60.0,no_lateral_alignment
45,1.0,0.0,0.0,1.0,-0.1467541754245758,0,hm3d_narrow_000132,narrow,0.0106,60.0,no_lateral_alignment
33,1.0,0.0,0.0,1.0,-0.10135054588317871,0,hm3d_narrow_000053,narrow,0.0264,60.0,no_lateral_alignment
46,1.0,0.0,0.0,1.0,-0.12423289567232132,0,hm3d_narrow_000018,narrow,0.0311,60.0,no_lateral_alignment
31,1.0,0.0,0.0,1.0,-0.1447838395833969,0,hm3d_narrow_000019,narrow,0.0206,60.0,no_lateral_alignment
50,1.0,0.0,0.0,1.0,-0.1076829731464386,0,hm3d_narrow_000020,narrow,0.0352,60.0,no_lateral_alignment
106,1.0,0.0,0.0,1.0,-0.13688142597675323,0,hm3d_narrow_000093,narrow,0.0124,60.0,no_lateral_alignment
35,1.0,0.0,0.0,1.0,-0.15935316681861877,0,hm3d_narrow_000091,narrow,0.0182,60.0,no_lateral_alignment
55,1.0,0.0,0.0,1.0,-0.13779443502426147,0,hm3d_narrow_000092,narrow,0.0089,60.0,no_lateral_alignment
102,1.0,0.0,0.0,1.0,-0.13990436494350433,0,hm3d_narrow_000010,narrow,0.0438,60.0,no_lateral_alignment
48,1.0,0.0,0.0,1.0,-0.18000000715255737,0,hm3d_narrow_000011,narrow,0.0107,60.0,no_lateral_alignment
56,1.0,0.0,0.0,1.0,-0.1457144021987915,0,hm3d_narrow_000076,narrow,0.0161,60.0,no_lateral_alignment
35,1.0,0.0,0.0,1.0,-0.12984594702720642,0,hm3d_narrow_000077,narrow,0.0221,60.0,no_lateral_alignment
62,1.0,0.0,0.0,1.0,-0.14633889496326447,0,hm3d_narrow_000129,narrow,0.0299,60.0,no_lateral_alignment
59,1.0,0.0,0.0,1.0,-0.10445297509431839,0,hm3d_narrow_000115,narrow,0.0294,60.0,no_lateral_alignment
38,1.0,0.0,0.0,1.0,-0.1471787691116333,0,hm3d_narrow_000089,narrow,0.0294,60.0,no_lateral_alignment
44,1.0,0.0,0.0,1.0,-0.1429225355386734,0,hm3d_narrow_000040,narrow,0.0426,60.0,no_lateral_alignment
