episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,near_collision,min_clearance
hm3d_narrow_000093,00861-GLAQ4DNUx5U,narrow,0.0456,500,0.0,0.0,1.0,1.0,-0.10725060850381851
hm3d_narrow_000095,00861-GLAQ4DNUx5U,narrow,0.0084,500,0.0,0.0,1.0,1.0,-0.15499259531497955
hm3d_narrow_000092,00861-GLAQ4DNUx5U,normal,0.1973,500,0.0,0.0,1.0,1.0,-0.1700742244720459
hm3d_narrow_000098,00861-GLAQ4DNUx5U,narrow,0.0033,500,0.0,0.0,1.0,1.0,-0.16431288421154022
hm3d_narrow_000096,00861-GLAQ4DNUx5U,narrow,0.1307,500,0.0,0.0,1.0,1.0,-0.16882146894931793
hm3d_narrow_000099,00861-GLAQ4DNUx5U,narrow,0.0164,500,0.0,0.0,0.0,1.0,-0.14178931713104248
hm3d_narrow_000094,00861-GLAQ4DNUx5U,narrow,0.0808,500,0.0,0.0,1.0,1.0,-0.12536995112895966
hm3d_narrow_000153,00897-LEFTm3JecaC,wide,0.4393,500,0.0,0.0,1.0,1.0,-0.1686495691537857
hm3d_narrow_000155,00897-LEFTm3JecaC,wide,0.9153,500,0.0,0.0,1.0,1.0,-0.1674431413412094
hm3d_narrow_000151,00897-LEFTm3JecaC,narrow,0.0217,500,0.0,0.0,1.0,1.0,-0.1700931042432785
hm3d_narrow_000152,00897-LEFTm3JecaC,narrow,0.0792,500,0.0,0.0,1.0,1.0,-0.16901525855064392
hm3d_narrow_000150,00897-LEFTm3JecaC,wide,0.4816,500,0.0,0.0,1.0,1.0,-0.16901269555091858
hm3d_narrow_000156,00897-LEFTm3JecaC,narrow,0.0335,500,0.0,0.0,1.0,1.0,-0.16739019751548767
hm3d_narrow_000154,00897-LEFTm3JecaC,narrow,0.1006,500,0.0,0.0,1.0,1.0,-0.16816864907741547
hm3d_narrow_000080,00874-uSKXQ5fFg6u,narrow,0.0401,500,0.0,0.0,1.0,1.0,-0.12971459329128265
hm3d_narrow_000084,00874-uSKXQ5fFg6u,narrow,0.1049,500,0.0,0.0,1.0,1.0,-0.14009559154510498
hm3d_narrow_000082,00874-uSKXQ5fFg6u,normal,0.2234,500,0.0,0.0,1.0,1.0,-0.1695830225944519
hm3d_narrow_000087,00874-uSKXQ5fFg6u,narrow,0.1092,500,0.0,0.0,1.0,1.0,-0.1694277673959732
hm3d_narrow_000086,00874-uSKXQ5fFg6u,narrow,0.1245,500,0.0,0.0,1.0,1.0,-0.17044779658317566
hm3d_narrow_000081,00874-uSKXQ5fFg6u,narrow,0.0649,500,0.0,0.0,1.0,1.0,-0.1676085889339447
hm3d_narrow_000083,00874-uSKXQ5fFg6u,normal,0.2244,500,0.0,0.0,1.0,1.0,-0.16604648530483246
hm3d_narrow_000088,00874-uSKXQ5fFg6u,narrow,0.0096,500,0.0,0.0,1.0,1.0,-0.17032934725284576
hm3d_narrow_000085,00874-uSKXQ5fFg6u,narrow,0.0211,500,0.0,0.0,1.0,1.0,-0.1415499448776245
hm3d_narrow_000089,00874-uSKXQ5fFg6u,narrow,0.024,500,0.0,0.0,1.0,1.0,-0.1710517406463623
hm3d_narrow_000112,00851-YRUkbU5xsYj,normal,0.2692,500,0.0,0.0,1.0,1.0,-0.15110896527767181
hm3d_narrow_000111,00851-YRUkbU5xsYj,narrow,0.0745,500,0.0,0.0,1.0,1.0,-0.11127954721450806
