seed,corridor_type,success,steps
309,l_shaped,0.0,11
310,s_shaped,0.0,17
311,straight,0.0,11
312,s_shaped,0.0,13
313,narrow_exit,0.0,11
314,false_feasible,0.0,15
315,narrow_entry,0.0,14
316,false_feasible,0.0,18
317,false_feasible,0.0,15
318,false_feasible,0.0,15
319,l_shaped,0.0,13
320,asymmetric,0.0,18
321,narrow_exit,0.0,11
322,l_shaped,0.0,14
323,l_shaped,0.0,16
324,l_shaped,0.0,10
325,s_shaped,0.0,12
326,straight,0.0,22
327,narrow_exit,0.0,14
328,false_feasible,0.0,23
329,l_shaped,0.0,11
330,false_feasible,0.0,12
331,l_shaped,0.0,13
332,straight,0.0,12
333,false_feasible,0.0,20
334,s_shaped,0.0,12
335,l_shaped,0.0,14
336,false_feasible,0.0,13
337,straight,0.0,20
338,narrow_entry,0.0,9
339,l_shaped,0.0,11
340,asymmetric,0.0,9
341,narrow_exit,0.0,11
342,narrow_exit,0.0,9
343,narrow_entry,0.0,23
344,narrow_exit,0.0,10
345,narrow_exit,0.0,13
346,l_shaped,0.0,11
347,l_shaped,0.0,17
348,l_shaped,0.0,14
349,l_shaped,0.0,10
350,asymmetric,0.0,10
351,narrow_exit,0.0,13
352,l_shaped,0.0,19
353,narrow_entry,0.0,9
354,narrow_exit,0.0,18
355,l_shaped,0.0,12
356,l_shaped,0.0,17
357,l_shaped,0.0,10
358,narrow_exit,0.0,11
359,s_shaped,0.0,15
360,false_feasible,0.0,14
361,l_shaped,0.0,12
362,straight,0.0,11
363,false_feasible,0.0,21
364,straight,0.0,12
365,narrow_entry,0.0,9
366,straight,0.0,10
367,l_shaped,0.0,10
368,l_shaped,0.0,13
369,narrow_entry,0.0,10
370,asymmetric,0.0,14
371,l_shaped,0.0,15
372,narrow_entry,0.0,9
373,false_feasible,0.0,17
374,straight,0.0,17
375,false_feasible,0.0,14
376,s_shaped,0.0,13
377,l_shaped,0.0,11
378,narrow_exit,0.0,14
379,narrow_exit,0.0,12
380,l_shaped,0.0,15
381,asymmetric,0.0,10
382,l_shaped,0.0,15
383,straight,0.0,12
384,s_shaped,0.0,13
385,l_shaped,0.0,11
386,l_shaped,0.0,14
387,l_shaped,0.0,10
388,straight,0.0,13
389,straight,0.0,9
390,narrow_exit,0.0,12
391,straight,0.0,16
392,l_shaped,0.0,13
393,l_shaped,0.0,14
394,narrow_entry,0.0,9
395,straight,0.0,18
396,l_shaped,0.0,14
397,s_shaped,0.0,11
398,asymmetric,0.0,10
399,narrow_exit,0.0,14
400,straight,0.0,11
401,narrow_exit,0.0,16
402,l_shaped,0.0,13
403,straight,0.0,12
404,l_shaped,0.0,10
405,asymmetric,0.0,12
406,straight,0.0,10
407,straight,0.0,9
408,narrow_exit,0.0,14
409,l_shaped,0.0,11
410,s_shaped,0.0,14
411,straight,0.0,10
412,narrow_entry,0.0,9
413,straight,0.0,12
414,s_shaped,0.0,13
415,narrow_entry,0.0,20
416,straight,0.0,10
417,false_feasible,0.0,13
418,l_shaped,0.0,14
419,false_feasible,0.0,19
420,narrow_entry,0.0,11
421,straight,0.0,9
422,narrow_exit,0.0,12
423,narrow_exit,0.0,10
424,narrow_entry,0.0,17
425,straight,0.0,18
426,s_shaped,0.0,16
427,s_shaped,0.0,13
428,narrow_exit,0.0,9
429,narrow_exit,0.0,9
430,narrow_entry,0.0,14
431,straight,0.0,10
432,narrow_exit,0.0,12
433,l_shaped,0.0,13
434,l_shaped,0.0,11
435,narrow_entry,0.0,11
436,l_shaped,0.0,13
437,l_shaped,0.0,14
438,asymmetric,0.0,15
439,false_feasible,0.0,9
440,false_feasible,0.0,17
441,l_shaped,0.0,12
442,s_shaped,0.0,14
443,straight,0.0,23
444,asymmetric,0.0,14
445,s_shaped,0.0,14
446,narrow_entry,0.0,8
447,narrow_exit,0.0,10
448,straight,0.0,19
449,asymmetric,0.0,10
450,s_shaped,0.0,12
451,s_shaped,0.0,14
452,false_feasible,0.0,10
453,straight,0.0,9
454,straight,0.0,11
455,s_shaped,0.0,14
456,s_shaped,0.0,11
457,l_shaped,0.0,17
458,narrow_exit,0.0,15
459,asymmetric,0.0,16
460,straight,0.0,16
461,asymmetric,0.0,17
462,asymmetric,0.0,18
463,false_feasible,0.0,20
464,narrow_exit,0.0,13
465,asymmetric,0.0,25
466,straight,0.0,21
467,s_shaped,0.0,13
468,narrow_entry,0.0,400
469,s_shaped,0.0,12
470,s_shaped,0.0,13
471,l_shaped,0.0,17
472,s_shaped,0.0,15
473,narrow_entry,0.0,14
474,narrow_entry,0.0,10
475,straight,0.0,15
476,straight,0.0,11
477,asymmetric,0.0,14
478,s_shaped,0.0,13
479,l_shaped,0.0,10
480,narrow_entry,0.0,9
481,asymmetric,0.0,13
482,narrow_entry,0.0,16
483,straight,0.0,13
484,straight,0.0,12
485,s_shaped,0.0,10
486,asymmetric,0.0,16
487,s_shaped,0.0,11
488,straight,0.0,13
489,narrow_exit,0.0,10
490,l_shaped,0.0,13
491,narrow_entry,0.0,14
492,narrow_exit,0.0,11
493,asymmetric,0.0,12
494,asymmetric,0.0,14
495,narrow_exit,0.0,12
496,false_feasible,0.0,9
497,s_shaped,0.0,10
498,narrow_entry,0.0,9
499,false_feasible,0.0,10
