episode_id,body_margin,delta_d,passage_width,difficulty,success,steps
hm3d_narrow_000131,0.1439,0.2878,0.7078,narrow,0.0,500
hm3d_narrow_000129,0.1055,0.211,0.631,narrow,0.0,500
hm3d_narrow_000040,0.1617,0.3234,0.7434,normal,0.0,500
hm3d_narrow_000042,0.0426,0.0852,0.5052,narrow,1.0,500
hm3d_narrow_000047,0.1521,0.3042,0.7242,normal,0.0,500
hm3d_narrow_000041,0.5214,1.0428,1.4627,wide,0.0,500
hm3d_narrow_000046,0.0972,0.1944,0.6145,narrow,0.0,500
hm3d_narrow_000043,0.2007,0.4014,0.8213,normal,0.0,500
hm3d_narrow_000049,0.5861,1.1722,1.5921,wide,0.0,500
hm3d_narrow_000048,0.0935,0.187,0.6069,narrow,0.0,500
hm3d_narrow_000045,0.1651,0.3302,0.7501,normal,0.0,500
hm3d_narrow_000044,0.0938,0.1876,0.6077,narrow,0.0,500
hm3d_narrow_000034,0.3009,0.6018,1.0217,normal,0.0,500
hm3d_narrow_000039,0.2361,0.4722,0.8923,normal,0.0,500
hm3d_narrow_000033,0.6984,1.3968,1.8167,wide,0.0,500
hm3d_narrow_000035,0.1955,0.391,0.8111,normal,0.0,500
hm3d_narrow_000032,0.3339,0.6678,1.0879,normal,0.0,500
hm3d_narrow_000038,0.4594,0.9188,1.3388,wide,1.0,500
hm3d_narrow_000030,0.6088,1.2176,1.6377,wide,0.0,500
hm3d_narrow_000036,0.1614,0.3228,0.7429,normal,0.0,500
hm3d_narrow_000031,0.294,0.588,1.008,normal,0.0,500
hm3d_narrow_000037,0.1172,0.2344,0.6544,narrow,0.0,500
hm3d_narrow_000090,0.2541,0.5082,0.9283,normal,1.0,500
hm3d_narrow_000091,0.0294,0.0588,0.4787,narrow,0.0,500
hm3d_narrow_000148,0.0062,0.0124,0.4324,narrow,0.0,500
hm3d_narrow_000149,0.1142,0.2284,0.6484,narrow,0.0,500
hm3d_narrow_000144,0.0106,0.0212,0.4411,narrow,0.0,500
hm3d_narrow_000147,0.0475,0.095,0.5151,narrow,0.0,500
hm3d_narrow_000146,0.1268,0.2536,0.6737,narrow,0.0,500
hm3d_narrow_000145,0.4735,0.947,1.367,wide,0.0,500
hm3d_narrow_000060,0.0862,0.1724,0.5923,narrow,0.0,500
hm3d_narrow_000062,0.1439,0.2878,0.7078,narrow,0.0,500
hm3d_narrow_000068,0.9289,1.8578,2.2778,wide,0.0,500
hm3d_narrow_000066,0.0726,0.1452,0.5653,narrow,0.0,500
hm3d_narrow_000063,0.1913,0.3826,0.8027,normal,0.0,500
hm3d_narrow_000065,0.1642,0.3284,0.7483,normal,0.0,500
hm3d_narrow_000061,0.831,1.662,2.0821,wide,0.0,500
hm3d_narrow_000069,0.2581,0.5162,0.9363,normal,0.0,500
hm3d_narrow_000064,0.0729,0.1458,0.5659,narrow,0.0,500
hm3d_narrow_000067,1.0308,2.0616,2.4816,wide,0.0,500
hm3d_narrow_000137,0.1343,0.2686,0.6885,narrow,0.0,500
hm3d_narrow_000135,0.1529,0.3058,0.7257,normal,0.0,500
hm3d_narrow_000139,0.5752,1.1504,1.5705,wide,0.0,500
hm3d_narrow_000132,0.2734,0.5468,0.9667,normal,1.0,500
hm3d_narrow_000133,0.4865,0.973,1.393,wide,0.0,500
hm3d_narrow_000138,0.3307,0.6614,1.0813,normal,1.0,500
hm3d_narrow_000140,0.3332,0.6664,1.0863,normal,0.0,500
hm3d_narrow_000134,0.7903,1.5806,2.0007,wide,0.0,500
hm3d_narrow_000141,0.2123,0.4246,0.8447,normal,0.0,500
hm3d_narrow_000136,0.3234,0.6468,1.0669,normal,1.0,500
hm3d_narrow_000059,0.7829,1.5658,1.9859,wide,0.0,181
hm3d_narrow_000054,0.4303,0.8606,1.2805,wide,0.0,500
hm3d_narrow_000056,0.814,1.628,2.0479,wide,0.0,500
hm3d_narrow_000055,0.2176,0.4352,0.8552,normal,0.0,500
hm3d_narrow_000051,0.446,0.892,1.3119,wide,1.0,500
hm3d_narrow_000057,0.0264,0.0528,0.4729,narrow,0.0,500
hm3d_narrow_000050,0.0709,0.1418,0.5619,narrow,0.0,500
hm3d_narrow_000053,0.0995,0.199,0.619,narrow,0.0,500
hm3d_narrow_000058,0.1435,0.287,0.707,narrow,0.0,500
hm3d_narrow_000052,0.1488,0.2976,0.7175,narrow,0.0,500
hm3d_narrow_000142,0.0299,0.0598,0.4797,narrow,0.0,500
hm3d_narrow_000143,0.0754,0.1508,0.5708,narrow,0.0,500
hm3d_narrow_000102,0.0089,0.0178,0.4378,narrow,0.0,500
hm3d_narrow_000101,0.1565,0.313,0.733,normal,0.0,500
hm3d_narrow_000103,0.0124,0.0248,0.4449,narrow,0.0,500
hm3d_narrow_000104,0.1874,0.3748,0.7948,normal,0.0,500
hm3d_narrow_000100,0.0182,0.0364,0.4563,narrow,0.0,500
